subid,trial_type,trial,total_fixation,order,trial_num,lab,stimulus,looking_time,MovieStart,MovieEnd,TrialTime,total_trial_time,trial_error,trial_error_type,notes
MB12_S05,ADS,ADS5,16.78,4,3,irl-concordia,NA,NA,00:53.927,01:11.977,00:18.050,18.050,noerror,NA,
MB12_S05,ADS,ADS6,0,4,15,irl-concordia,NA,NA,05:26.579,05:30.952,00:04.373,4.373,error,experimenter began trial too early,
MB12_S05,ADS,ADS7,5.05,4,6,irl-concordia,NA,NA,02:08.398,02:17.698,00:09.300,9.300,noerror,NA,
MB12_S05,ADS,ADS8,3.35,4,17,irl-concordia,NA,NA,05:47.169,06:01.255,00:14.086,14.086,noerror,NA,
MB12_S05,IDS,IDS1,7.71,4,7,irl-concordia,NA,NA,02:30.611,02:43.297,00:12.686,12.686,noerror,NA,
MB12_S05,IDS,IDS2,6.28,4,11,irl-concordia,NA,NA,04:02.018,04:17.576,00:15.558,15.558,noerror,NA,
MB12_S05,IDS,IDS3,8.2,4,9,irl-concordia,NA,NA,03:08.924,03:22.257,00:13.333,13.333,noerror,NA,
MB12_S05,IDS,IDS4,8.96,4,14,irl-concordia,NA,NA,04:59.801,05:17.853,00:18.052,18.052,noerror,NA,
MB12_S05,IDS,IDS5,12.18,4,4,irl-concordia,NA,NA,01:23.438,01:41.494,00:18.056,18.056,noerror,NA,
MB12_S05,IDS,IDS6,0,4,16,irl-concordia,NA,NA,05:35.408,05:43.176,00:07.768,7.768,noerror,NA,
MB12_S05,IDS,IDS7,11.73,4,5,irl-concordia,NA,NA,01:42.188,02:00.255,00:18.067,18.067,error,experimenter began trial too early,skipped attention-getter
MB12_S05,IDS,IDS8,3.43,4,18,irl-concordia,NA,NA,06:12.329,06:19.583,00:07.254,7.254,noerror,NA,
MB12_S05,training,train1,17.91,4,2,irl-concordia,NA,NA,00:27.969,00:46.031,00:18.062,18.062,noerror,NA,
MB12_S05,training,train2,8.63,4,1,irl-concordia,NA,NA,00:11.874,00:22.954,00:11.080,11.080,noerror,NA,
MB12_S06,ADS,ADS1,2.93,2,3,irl-concordia,NA,NA,00:55.725,01:03.188,00:07.463,7.463,noerror,NA,
MB12_S06,ADS,ADS2,4.96,2,5,irl-concordia,NA,NA,01:33.234,01:46.164,00:12.930,12.930,noerror,NA,
MB12_S06,ADS,ADS3,3.4,2,8,irl-concordia,NA,NA,02:41.964,03:00.016,00:18.052,18.052,error,trial should have ended earlier,
MB12_S06,ADS,ADS4,4.21,2,9,irl-concordia,NA,NA,03:11.905,03:26.914,00:15.009,15.009,error,trial should have ended earlier,
MB12_S06,ADS,ADS5,3.47,2,12,irl-concordia,NA,NA,04:51.173,05:09.233,00:18.060,18.060,error,trial should have ended earlier,
MB12_S06,ADS,ADS6,0.73,2,14,irl-concordia,NA,NA,05:37.726,05:55.745,00:18.019,18.019,error,trial should have ended earlier,
MB12_S06,ADS,ADS7,0,2,15,irl-concordia,NA,NA,05:58.397,06:16.448,00:18.051,18.051,error,trial should have ended earlier,
MB12_S06,ADS,ADS8,0,2,18,irl-concordia,NA,NA,07:28.640,07:46.684,00:18.044,18.044,error,trial should have ended earlier,
MB12_S06,IDS,IDS1,6.67,2,4,irl-concordia,NA,NA,01:07.733,01:24.644,00:16.911,16.911,noerror,NA,
MB12_S06,IDS,IDS2,2.53,2,6,irl-concordia,NA,NA,02:02.163,02:17.323,00:15.160,15.160,error,trial should have ended earlier,
MB12_S06,IDS,IDS3,0,2,7,irl-concordia,NA,NA,02:24.921,02:33.491,00:08.570,8.570,noerror,NA,
MB12_S06,IDS,IDS4,0,2,10,irl-concordia,NA,NA,03:57.383,04:15.440,00:18.057,18.057,error,experimenter began trial too early,
MB12_S06,IDS,IDS5,3.51,2,11,irl-concordia,NA,NA,04:22.703,04:40.751,00:18.048,18.048,error,trial should have ended earlier,
MB12_S06,IDS,IDS6,3.65,2,13,irl-concordia,NA,NA,05:13.836,05:31.897,00:18.061,18.061,error,trial should have ended earlier,
MB12_S06,IDS,IDS7,0,2,16,irl-concordia,NA,NA,06:18.949,06:29.623,00:10.674,10.674,error,experimenter began trial too early,
MB12_S06,IDS,IDS8,0,2,17,irl-concordia,NA,NA,07:00.227,07:02.502,00:02.275,2.275,error,experimenter began trial too early,
MB12_S06,training,train1,11.84,2,2,irl-concordia,NA,NA,00:29.153,00:47.215,00:18.062,18.062,noerror,NA,
MB12_S06,training,train2,17.01,2,1,irl-concordia,NA,NA,00:10.009,00:28.067,00:18.058,18.058,noerror,NA,
MB12_S07,ADS,ADS1,11.74,2,3,irl-concordia,NA,NA,00:45.731,01:03.758,00:18.027,18.027,noerror,NA,
MB12_S07,ADS,ADS2,2.58,2,5,irl-concordia,NA,NA,01:25.694,01:32.560,00:06.866,6.866,noerror,NA,
MB12_S07,ADS,ADS3,3.22,2,8,irl-concordia,NA,NA,02:06.806,02:17.959,00:11.153,11.153,noerror,NA,
MB12_S07,ADS,ADS4,3.04,2,9,irl-concordia,NA,NA,02:22.993,02:31.799,00:08.806,8.806,noerror,NA,
MB12_S07,ADS,ADS5,3.7,2,12,irl-concordia,NA,NA,02:59.535,03:07.015,00:07.480,7.480,noerror,NA,
MB12_S07,ADS,ADS6,1.08,2,14,irl-concordia,NA,NA,03:21.038,03:29.359,00:08.321,8.321,error,experimenter began trial too early,
MB12_S07,ADS,ADS7,0,2,15,irl-concordia,NA,NA,03:33.362,03:38.367,00:05.005,5.005,noerror,NA,
MB12_S07,ADS,ADS8,1.32,2,18,irl-concordia,NA,NA,04:07.399,04:15.670,00:08.271,8.271,noerror,NA,
MB12_S07,IDS,IDS1,6.7,2,4,irl-concordia,NA,NA,01:07.899,01:21.552,00:13.653,13.653,noerror,NA,
MB12_S07,IDS,IDS2,4.71,2,6,irl-concordia,NA,NA,01:38.165,01:47.424,00:09.259,9.259,noerror,NA,
MB12_S07,IDS,IDS3,5.92,2,7,irl-concordia,NA,NA,01:51.802,02:01.887,00:10.085,10.085,noerror,NA,
MB12_S07,IDS,IDS4,5.26,2,10,irl-concordia,NA,NA,02:36.058,02:45.775,00:09.717,9.717,noerror,NA,
MB12_S07,IDS,IDS5,1.87,2,11,irl-concordia,NA,NA,02:50.124,02:55.759,00:05.635,5.635,noerror,NA,
MB12_S07,IDS,IDS6,1.93,2,13,irl-concordia,NA,NA,03:10.995,03:16.304,00:05.309,5.309,noerror,NA,
MB12_S07,IDS,IDS7,0.33,2,16,irl-concordia,NA,NA,03:42.845,03:49.567,00:06.722,6.722,noerror,NA,
MB12_S07,IDS,IDS8,0.24,2,17,irl-concordia,NA,NA,03:52.240,03:59.487,00:07.247,7.247,noerror,NA,
MB12_S07,training,train1,9.82,2,2,irl-concordia,NA,NA,00:20.633,00:38.686,00:18.053,18.053,noerror,NA,
MB12_S07,training,train2,8.46,2,1,irl-concordia,NA,NA,00:04.224,00:16.249,00:12.025,12.025,noerror,NA,
MB12_S08,ADS,ADS1,0.53,3,7,irl-concordia,NA,NA,01:20.672,01:24.337,00:03.665,3.665,error,experimenter began trial too early,participant was too fussy
MB12_S08,ADS,ADS2,0.32,3,11,irl-concordia,NA,NA,01:54.818,01:59.727,00:04.909,4.909,error,experimenter began trial too early,participant was too fussy
MB12_S08,ADS,ADS3,0,3,9,irl-concordia,NA,NA,01:36.499,01:41.473,00:04.974,4.974,error,experimenter began trial too early,participant was too fussy
MB12_S08,ADS,ADS4,0.28,3,14,irl-concordia,NA,NA,02:24.635,02:28.880,00:04.245,4.245,error,experimenter began trial too early,participant was too fussy
MB12_S08,ADS,ADS5,2.26,3,4,irl-concordia,NA,NA,00:50.684,00:57.241,00:06.557,6.557,noerror,NA,
MB12_S08,ADS,ADS6,0,3,16,irl-concordia,NA,NA,02:40.325,02:45.064,00:04.739,4.739,error,experimenter began trial too early,participant was too fussy
MB12_S08,ADS,ADS7,0,3,5,irl-concordia,NA,NA,01:01.521,01:07.313,00:05.792,5.792,error,experimenter began trial too early,participant was too fussy
MB12_S08,ADS,ADS8,0,3,18,irl-concordia,NA,NA,02:59.810,03:03.496,00:03.686,3.686,error,experimenter began trial too early,participant was too fussy
MB12_S08,IDS,IDS1,0,3,8,irl-concordia,NA,NA,01:28.370,01:32.297,00:03.927,3.927,error,experimenter began trial too early,participant was too fussy
MB12_S08,IDS,IDS2,0,3,12,irl-concordia,NA,NA,02:04.425,02:09.920,00:05.495,5.495,error,experimenter began trial too early,participant was too fussy
MB12_S08,IDS,IDS3,0,3,10,irl-concordia,NA,NA,01:46.294,01:50.808,00:04.514,4.514,error,experimenter began trial too early,participant was too fussy
MB12_S08,IDS,IDS4,0.42,3,13,irl-concordia,NA,NA,02:13.613,02:21.560,00:07.947,7.947,error,experimenter began trial too early,participant was too fussy
MB12_S08,IDS,IDS5,12.07,3,3,irl-concordia,NA,NA,00:29.908,00:46.609,00:16.701,16.701,noerror,NA,
MB12_S08,IDS,IDS6,0,3,15,irl-concordia,NA,NA,02:32.432,02:36.688,00:04.256,4.256,error,experimenter began trial too early,participant was too fussy
MB12_S08,IDS,IDS7,0,3,6,irl-concordia,NA,NA,01:12.416,01:16.241,00:03.825,3.825,error,experimenter began trial too early,participant was too fussy
MB12_S08,IDS,IDS8,0,3,17,irl-concordia,NA,NA,02:49.210,02:57.600,00:08.390,8.390,error,experimenter began trial too early,participant was too fussy
MB12_S08,training,train1,4.07,3,1,irl-concordia,NA,NA,00:06.290,00:14.441,00:08.151,8.151,noerror,NA,
MB12_S08,training,train2,1.32,3,2,irl-concordia,NA,NA,00:18.464,00:27.201,00:08.737,8.737,error,trial should have ended earlier,
MB12_S09,ADS,ADS1,7.36,3,7,irl-concordia,NA,NA,02:18.108,02:32.090,00:13.982,13.982,noerror,NA,
MB12_S09,ADS,ADS2,1.07,3,11,irl-concordia,NA,NA,03:31.564,03:36.201,00:04.637,4.637,noerror,NA,
MB12_S09,ADS,ADS3,4.65,3,9,irl-concordia,NA,NA,02:55.540,03:06.705,00:11.165,11.165,error,experimenter ended trial too early,
MB12_S09,ADS,ADS4,3.48,3,14,irl-concordia,NA,NA,04:21.128,04:27.872,00:06.744,6.744,noerror,NA,
MB12_S09,ADS,ADS5,2.08,3,4,irl-concordia,NA,NA,01:16.711,01:22.203,00:05.492,5.492,noerror,NA,
MB12_S09,ADS,ADS6,1.62,3,16,irl-concordia,NA,NA,04:57.752,05:02.776,00:05.024,5.024,error,experimenter began trial too early,
MB12_S09,ADS,ADS7,12.86,3,5,irl-concordia,NA,NA,01:30.857,01:48.912,00:18.055,18.055,noerror,NA,
MB12_S09,ADS,ADS8,0.85,3,18,irl-concordia,NA,NA,06:10.733,06:16.983,00:06.250,6.250,noerror,NA,
MB12_S09,IDS,IDS1,2.33,3,8,irl-concordia,NA,NA,02:36.912,02:42.882,00:05.970,5.970,error,experimenter began trial too early,
MB12_S09,IDS,IDS2,0.09,3,12,irl-concordia,NA,NA,03:41.989,03:45.561,00:03.572,3.572,error,experimenter began trial too early,
MB12_S09,IDS,IDS3,11.78,3,10,irl-concordia,NA,NA,03:11.144,03:27.329,00:16.185,16.185,noerror,NA,
MB12_S09,IDS,IDS4,7.67,3,13,irl-concordia,NA,NA,04:04.272,04:15.968,00:11.696,11.696,noerror,NA,
MB12_S09,IDS,IDS5,12.29,3,3,irl-concordia,NA,NA,00:54.614,01:11.323,00:16.709,16.709,noerror,NA,
MB12_S09,IDS,IDS6,3.97,3,15,irl-concordia,NA,NA,04:36.080,04:43.544,00:07.464,7.464,noerror,NA,
MB12_S09,IDS,IDS7,12.01,3,6,irl-concordia,NA,NA,01:55.212,02:12.882,00:17.670,17.670,noerror,NA,
MB12_S09,IDS,IDS8,4.98,3,17,irl-concordia,NA,NA,05:31.346,05:43.263,00:11.917,11.917,noerror,NA,
MB12_S09,training,train1,17.26,3,1,irl-concordia,NA,NA,00:06.695,00:24.772,00:18.077,18.077,noerror,NA,
MB12_S09,training,train2,17.24,3,2,irl-concordia,NA,NA,00:30.510,00:48.537,00:18.027,18.027,noerror,NA,
MB12_S10,ADS,ADS1,0,4,8,irl-concordia,NA,NA,01:39.550,01:45.849,00:06.299,6.299,noerror,NA,
MB12_S10,ADS,ADS2,1.94,4,12,irl-concordia,NA,NA,02:21.961,02:33.496,00:11.535,11.535,error,trial should have ended earlier,
MB12_S10,ADS,ADS3,0.68,4,10,irl-concordia,NA,NA,01:58.845,02:03.557,00:04.712,4.712,error,experimenter began trial too early,
MB12_S10,ADS,ADS4,0.35,4,13,irl-concordia,NA,NA,02:51.129,02:57.768,00:06.639,6.639,noerror,NA,
MB12_S10,ADS,ADS5,3.26,4,3,irl-concordia,NA,NA,00:28.169,00:37.147,00:08.978,8.978,noerror,NA,
MB12_S10,ADS,ADS6,0,4,15,irl-concordia,NA,NA,03:35.753,03:40.559,00:04.806,4.806,error,experimenter began trial too early,parent took glasses off face
MB12_S10,ADS,ADS7,0.45,4,6,irl-concordia,NA,NA,01:10.808,01:17.961,00:07.153,7.153,noerror,NA,
MB12_S10,ADS,ADS8,0,4,17,irl-concordia,NA,NA,04:44.546,05:02.591,00:18.045,18.045,error,"fussy, trial not watched",
MB12_S10,IDS,IDS1,5.95,4,7,irl-concordia,NA,NA,01:21.681,01:34.713,00:13.032,13.032,noerror,NA,
MB12_S10,IDS,IDS2,1.81,4,11,irl-concordia,NA,NA,02:09.071,02:16.640,00:07.569,7.569,noerror,NA,
MB12_S10,IDS,IDS3,0,4,9,irl-concordia,NA,NA,01:51.032,01:55.785,00:04.753,4.753,error,experimenter began trial too early,
MB12_S10,IDS,IDS4,7.83,4,14,irl-concordia,NA,NA,03:05.027,03:20.903,00:15.876,15.876,noerror,NA,
MB12_S10,IDS,IDS5,1.25,4,4,irl-concordia,NA,NA,00:40.033,00:48.946,00:08.913,8.913,noerror,NA,
MB12_S10,IDS,IDS6,0,4,16,irl-concordia,NA,NA,04:11.016,04:13.919,00:02.903,2.903,error,"fussy, trial not watched",left the room
MB12_S10,IDS,IDS7,8.59,4,5,irl-concordia,NA,NA,00:51.914,01:06.882,00:14.968,14.968,noerror,NA,
MB12_S10,IDS,IDS8,0,4,18,irl-concordia,NA,NA,NA,NA,NA,NA,error,"fussy, trial not watched",
MB12_S10,training,train1,4.5,4,2,irl-concordia,NA,NA,00:15.579,00:25.379,00:09.800,9.800,noerror,NA,
MB12_S10,training,train2,4.65,4,1,irl-concordia,NA,NA,00:03.743,00:12.499,00:08.756,8.756,noerror,NA,
MB12_S11,ADS,ADS1,5.8,4,8,irl-concordia,NA,NA,02:23.200,02:33.764,00:10.564,10.564,noerror,NA,
MB12_S11,ADS,ADS2,6.27,4,12,irl-concordia,NA,NA,03:17.661,03:28.939,00:11.278,11.278,noerror,NA,
MB12_S11,ADS,ADS3,2.39,4,10,irl-concordia,NA,NA,02:54.525,03:00.900,00:06.375,6.375,noerror,NA,
MB12_S11,ADS,ADS4,9.56,4,13,irl-concordia,NA,NA,03:34.728,03:52.786,00:18.058,18.058,noerror,NA,
MB12_S11,ADS,ADS5,17.9,4,3,irl-concordia,NA,NA,00:38.914,00:56.982,00:18.068,18.068,noerror,NA,
MB12_S11,ADS,ADS6,6.75,4,15,irl-concordia,NA,NA,04:06.106,04:17.235,00:11.129,11.129,noerror,NA,
MB12_S11,ADS,ADS7,17.69,4,6,irl-concordia,NA,NA,01:40.947,01:58.999,00:18.052,18.052,noerror,NA,
MB12_S11,ADS,ADS8,3.5,4,17,irl-concordia,NA,NA,04:32.273,04:39.626,00:07.353,7.353,noerror,NA,
MB12_S11,IDS,IDS1,16.35,4,7,irl-concordia,NA,NA,02:02.330,02:20.384,00:18.054,18.054,noerror,NA,
MB12_S11,IDS,IDS2,6.91,4,11,irl-concordia,NA,NA,03:03.707,03:15.115,00:11.408,11.408,noerror,NA,
MB12_S11,IDS,IDS3,6.68,4,9,irl-concordia,NA,NA,02:36.825,02:50.508,00:13.683,13.683,noerror,NA,
MB12_S11,IDS,IDS4,1.09,4,14,irl-concordia,NA,NA,03:53.381,04:03.939,00:10.558,10.558,noerror,NA,skipped attention-getter
MB12_S11,IDS,IDS5,17.55,4,4,irl-concordia,NA,NA,00:59.384,01:17.416,00:18.032,18.032,noerror,NA,
MB12_S11,IDS,IDS6,3.88,4,16,irl-concordia,NA,NA,04:19.520,04:29.379,00:09.859,9.859,noerror,NA,
MB12_S11,IDS,IDS7,15.39,4,5,irl-concordia,NA,NA,01:20.088,01:38.147,00:18.059,18.059,noerror,NA,
MB12_S11,IDS,IDS8,3.63,4,18,irl-concordia,NA,NA,04:43.080,04:54.930,00:11.850,11.850,noerror,NA,
MB12_S11,training,train1,6.6,4,2,irl-concordia,NA,NA,00:22.817,00:35.949,00:13.132,13.132,noerror,NA,
MB12_S11,training,train2,12.52,4,1,irl-concordia,NA,NA,00:02.320,00:19.781,00:17.461,17.461,noerror,NA,
MB12_S12,ADS,ADS1,3.85,1,4,irl-concordia,NA,NA,01:00.455,01:08.855,00:08.400,8.400,noerror,NA,
MB12_S12,ADS,ADS2,1.86,1,6,irl-concordia,NA,NA,01:29.698,01:36.742,00:07.044,7.044,noerror,NA,skipped attention-getter
MB12_S12,ADS,ADS3,3.44,1,7,irl-concordia,NA,NA,01:39.771,01:49.246,00:09.475,9.475,noerror,NA,
MB12_S12,ADS,ADS4,0.99,1,10,irl-concordia,NA,NA,02:19.686,02:26.255,00:06.569,6.569,noerror,NA,
MB12_S12,ADS,ADS5,1.83,1,11,irl-concordia,NA,NA,02:36.055,02:43.142,00:07.087,7.087,noerror,NA,
